,ORBITID,CCDNUM,DEC,EXPNUM,RA,TDB,BAND,MJD,MAG,DETPROB,RANDOM
1,142,8,-14.070585009743207,379993,19.151617031435137,14.887588742058307,g,56982.19101045757,25.047153170712654,0.05776718174814813,0.8715442924212562
2,142,13,-13.826956612326486,498221,19.216528997538173,15.914058618982398,i,57357.10912142757,23.442421090716742,0.4355961341477775,0.5511720802623695
3,142,27,-13.781081457381783,482409,19.575245731761587,15.763699437467166,i,57302.19043038758,23.442421090716742,0.7014397631021514,0.8084845842290831
4,142,49,-13.54081611416515,580905,19.698270273347074,16.760290162450833,i,57666.19519268758,23.442421090716742,0.6666230127257503,0.0015539394615686764
5,142,11,-13.527900683572133,579053,19.73358981953683,16.74665001630435,i,57661.21312930757,23.442421090716742,0.7675560946468297,0.8446914107719943
6,142,43,-13.361351239545549,697300,19.511710152561573,17.879968223256654,i,58075.15759281757,23.442421090716742,0.7680705790981907,0.06273943824122852
7,142,11,-13.52789698913638,579052,19.733599599149084,16.746646260384313,r,57661.21175745758,23.889849455915805,0.6053616278864763,0.82973764020375
8,142,49,-13.54081269918053,580904,19.698280218893228,16.760286411293862,r,57666.19382257757,23.889849455915805,0.6157363038689662,0.6508007297954218
9,142,8,-14.045752251526707,387072,19.050330242920786,14.947665974300282,r,57004.13421952757,23.889849455915805,0.5795302053994117,0.08897029130406575
10,142,27,-13.781078121709406,482408,19.575255717435077,15.763695692252556,r,57302.18906244758,23.889849455915805,0.5377984245542653,0.3920260887101231
11,142,43,-13.345927517260671,702735,19.41216005285424,17.934499747240547,r,58095.07523194757,23.889849455915805,0.7000528191027262,0.49487341016003294
12,142,28,-14.070585523112479,379992,19.15162509075721,14.88758490690509,r,56982.18960966758,23.889849455915805,0.5990009614540474,0.9166887632088471
13,142,54,-13.987669199302738,362043,19.542740399299966,14.731648845643791,r,56925.23396329758,23.889849455915805,0.7062843011195661,0.6214320426116087
14,142,13,-13.826955211388132,498222,19.216522267331452,15.914062389140646,r,57357.11049847757,23.889849455915805,0.4486950073835583,0.35778211747875455
15,142,49,-13.868099790930128,349841,19.750129852031254,14.63062517647348,z,56888.33506812758,23.265522047237216,0.3275116180778579,0.7702463109432026
16,223,8,-1.0672197514262969,231492,-32.239345625542704,13.685500539447332,g,56543.12829445757,24.567176904547935,0.15801223424020772,0.7885285488804559
17,223,20,0.15742085962501937,572151,-31.789248578402503,16.68607946627517,i,57639.08973590758,22.91917862550156,0.8405816364681374,0.5016536542556878
18,223,28,0.1083876333842867,577282,-31.924534875030076,16.73520769657829,i,57657.03382202757,22.91917862550156,0.8161792631019414,0.2229370834121036
19,223,24,-1.124928611365483,239577,-32.39975739024461,13.745480226258927,i,56565.03587506757,22.91917862550156,0.877940408246819,0.5281812299431349
20,223,2,-1.0751316404078193,232762,-32.263816880590014,13.693845780377222,i,56546.17639370757,22.91917862550156,0.8852302047810697,0.5606804253372148
